#;index;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;averageRating;numVotes;ordering;region;language;types;attributes;isOriginalTitle;main_genre;secondary_genre
5720;7412;tt8778064;tvSeries;The Society;0;2019;58;7.1;33710;28;IN;en;imdbDisplay;\N;0;Drama;Mystery
5721;7413;tt8781414;movie;Freaks;0;2018;105;6.7;37569;20;IN;en;imdbDisplay;\N;0;Drama;Mystery
5722;7414;tt8783930;tvSeries;The Time Traveler's Wife;0;2022;45;7.7;16234;39;IN;en;imdbDisplay;\N;0;Drama;Fantasy
5723;7415;tt8787772;tvMiniSeries;Maya and the Three;0;2021;30;8.1;4566;13;IN;en;imdbDisplay;\N;0;Action;Adventure
5724;7416;tt8787802;tvSeries;Away;0;2020;50;6.6;24972;4;IN;en;imdbDisplay;\N;0;Drama;Romance
5725;7417;tt8788458;tvSeries;Yakusoku no Neverland;0;2019;23;8.2;42272;17;IN;en;imdbDisplay;\N;0;Action;Adventure
5726;7418;tt8806524;tvSeries;Star Trek: Picard;0;2020;46;7.5;89242;27;IN;en;imdbDisplay;\N;0;Action;Adventure
5727;7420;tt8820590;movie;T-34;0;2018;139;6.8;13399;15;IN;en;imdbDisplay;\N;0;Action;War
5728;7421;tt8824648;tvSeries;Girl from Nowhere;0;2018;45;7.6;5679;29;IN;en;imdbDisplay;\N;0;Crime;Drama
5729;7422;tt8836988;movie;Avengement;0;2019;87;6.6;18395;20;IN;en;imdbDisplay;\N;0;Action;Crime
5730;7423;tt8847712;movie;The French Dispatch;0;2021;107;7.1;136401;22;IN;en;imdbDisplay;\N;0;Comedy;Drama
5731;7424;tt8855592;tvSeries;Rojst;0;2018;50;7.0;4854;23;IN;en;imdbDisplay;\N;0;Crime;Drama
5732;7426;tt8858104;movie;Guava Island;0;2019;55;6.6;11328;4;IN;en;imdbDisplay;\N;0;Comedy;Drama
5733;7427;tt8869978;movie;Batla House;0;2019;146;7.2;12243;5;IN;en;imdbDisplay;\N;0;Action;Crime
5734;7429;tt8878862;tvSeries;Cidade InvisÃ­vel;0;2021;60;7.2;6989;8;IN;en;imdbDisplay;\N;0;Crime;Drama
5735;7430;tt8879894;tvSeries;Shadowplay;0;2020;45;7.0;7329;39;IN;en;imdbDisplay;\N;0;Drama;History
5736;7431;tt8879940;tvSeries;Mythic Quest: Raven's Banquet;0;2020;30;7.7;29472;5;IN;en;imdbDisplay;\N;0;Comedy;No tiene
5737;7432;tt8880894;tvSeries;Living with Yourself;0;2019;26;7.2;33757;24;IN;en;imdbDisplay;\N;0;Comedy;Drama
5738;7433;tt8888462;tvSeries;Pachinko;0;2022;55;8.3;10170;23;IN;en;imdbDisplay;\N;0;Drama;No tiene
5739;7434;tt8893550;tvSeries;Car Masters: Rust to Riches;0;2018;40;8.4;11206;15;IN;en;imdbDisplay;\N;0;Reality-TV;No tiene
5740;7435;tt8893974;movie;Passing;0;2021;98;6.7;15738;31;IN;en;imdbDisplay;\N;0;Drama;No tiene
5741;7436;tt8902948;movie;Tigertail;0;2020;91;6.6;3761;6;IN;en;imdbDisplay;\N;0;Drama;No tiene
5742;7437;tt8902990;movie;The Sky Is Pink;0;2019;143;7.6;9187;14;IN;en;imdbDisplay;\N;0;Drama;Romance
5743;7439;tt8910922;tvSeries;Solar Opposites;0;2020;22;8.0;27068;35;IN;en;imdbDisplay;\N;0;Adventure;Animation
5744;7440;tt8912384;tvSeries;Perpetual Grace, LTD;0;2019;50;7.5;3064;10;IN;en;imdbDisplay;\N;0;Comedy;Crime
5745;7441;tt8912936;movie;DC League of Super-Pets;0;2022;105;7.1;70275;24;IN;en;imdbDisplay;\N;0;Action;Adventure
5746;7442;tt8914492;movie;Game Over;0;2019;102;6.9;7912;8;IN;en;imdbDisplay;\N;0;Drama;Mystery
5747;7443;tt8914684;tvSeries;Sunderland 'Til I Die;0;2018;39;8.1;8782;7;IN;en;imdbDisplay;\N;0;Documentary;Sport
5748;7444;tt8923484;movie;Crip Camp;0;2020;106;7.7;7924;6;IN;en;imdbDisplay;\N;0;Documentary;History
5749;7445;tt8923854;tvSeries;Black Summer;0;2019;40;6.6;32418;8;IN;en;imdbDisplay;\N;0;Action;Drama
5750;7446;tt8936646;movie;Extraction;0;2020;116;6.8;234726;16;IN;en;imdbDisplay;\N;0;Action;Thriller
5751;7447;tt8941440;movie;Virus;0;2019;152;7.8;5288;13;IN;en;imdbDisplay;\N;0;Drama;Thriller
5752;7448;tt8946378;movie;Knives Out;0;2019;130;7.9;730911;23;IN;en;imdbDisplay;\N;0;Comedy;Crime
5753;7449;tt8959820;movie;Petta;0;2019;171;7.2;10916;8;IN;en;imdbDisplay;\N;0;Action;Drama
5754;7450;tt8961508;tvSeries;Alta mar;0;2019;50;6.8;7954;31;IN;en;imdbDisplay;\N;0;Crime;Drama
5755;7451;tt8962124;tvSeries;Emily in Paris;0;2020;30;6.9;107959;38;IN;en;imdbDisplay;\N;0;Comedy;Drama
5756;7452;tt8962130;tvSeries;Shrill;0;2019;30;7.4;8985;19;IN;en;imdbDisplay;\N;0;Comedy;Drama
5757;7453;tt8965666;tvSeries;Dispatches from Elsewhere;0;2020;45;6.9;5106;5;IN;en;imdbDisplay;\N;0;Drama;Mystery
5758;7454;tt8969332;movie;The Biggest Little Farm;0;2018;91;8.0;8328;3;IN;en;imdbDisplay;\N;0;Documentary;No tiene
5759;7455;tt8980602;movie;The Kid Detective;0;2020;100;7.0;20770;19;IN;en;imdbDisplay;\N;0;Comedy;Drama
5760;7456;tt8983164;movie;Chhalaang;0;2020;136;6.7;19600;5;IN;en;imdbDisplay;\N;0;Comedy;Drama
5761;7458;tt8983202;movie;Kabir Singh;0;2019;173;7.0;36197;2;IN;en;imdbDisplay;\N;0;Action;Drama
5762;7459;tt8983228;movie;Jhund;0;2022;176;7.4;25435;5;IN;en;imdbDisplay;\N;0;Biography;Drama
5763;7460;tt8984572;movie;Bob Biswas;0;2021;131;6.7;7684;10;IN;en;imdbDisplay;\N;0;Crime;Drama
5764;7461;tt8988748;movie;Diecisiete;0;2019;99;7.2;4367;7;IN;en;imdbDisplay;\N;0;Drama;No tiene
5765;7463;tt9000302;movie;Perempuan tanah jahanam;0;2019;106;6.6;6461;9;IN;en;imdbDisplay;\N;0;Horror;Mystery
5766;7464;tt9000388;movie;Tottaa Pataaka Item Maal;0;2019;107;6.6;7877;3;IN;en;imdbDisplay;\N;0;Drama;No tiene
5767;7466;tt9006564;movie;2018;0;2023;150;8.5;7196;15;IN;en;imdbDisplay;\N;0;Action;Drama
5768;7468;tt9012876;tvSeries;Firefly Lane;0;2021;\N;7.6;33345;39;IN;en;imdbDisplay;\N;0;Drama;Romance
5769;7469;tt9016016;movie;Saint Frances;0;2019;101;7.1;5094;3;IN;en;imdbDisplay;\N;0;Comedy;Drama
5770;7471;tt9048786;movie;L'immortale;0;2019;116;6.8;7008;11;IN;en;imdbDisplay;\N;0;Crime;Drama
